,Shutter B,Gain B,Mean Illumination B,Contrast B,Shutter I,Gain I,Mean Illumination I,Contrast I,numFeatures I,numMatches B-I,name I,FileLocation
2,520.0,16.0,71.98135091145834,241.0,23.0,16.0,11.528746744791668,153.0,11,9,csail03-08-15_1_0002.png,csail03-08-15_0/
3,520.0,16.0,71.98135091145834,241.0,33.0,16.0,13.030986328125001,215.0,33,9,csail03-08-15_1_0003.png,csail03-08-15_0/
4,520.0,16.0,71.98135091145834,241.0,44.0,16.0,14.658492838541667,233.0,45,26,csail03-08-15_1_0004.png,csail03-08-15_0/
5,520.0,16.0,71.98135091145834,241.0,55.0,16.0,16.236764322916667,236.0,54,21,csail03-08-15_1_0005.png,csail03-08-15_0/
6,520.0,16.0,71.98135091145834,241.0,66.0,16.0,17.871416015625,239.0,73,14,csail03-08-15_1_0006.png,csail03-08-15_0/
7,520.0,16.0,71.98135091145834,241.0,77.0,16.0,19.488313802083333,244.0,76,22,csail03-08-15_1_0007.png,csail03-08-15_0/
8,520.0,16.0,71.98135091145834,241.0,88.0,16.0,21.111090494791668,246.0,97,12,csail03-08-15_1_0008.png,csail03-08-15_0/
9,520.0,16.0,71.98135091145834,241.0,98.0,16.0,22.542366536458335,246.0,113,12,csail03-08-15_1_0009.png,csail03-08-15_0/
10,520.0,16.0,71.98135091145834,241.0,109.0,16.0,24.14710611979167,246.0,120,11,csail03-08-15_1_0010.png,csail03-08-15_0/
11,520.0,16.0,71.98135091145834,241.0,120.0,16.0,25.766168619791667,246.0,133,27,csail03-08-15_1_0011.png,csail03-08-15_0/
12,520.0,16.0,71.98135091145834,241.0,131.0,16.0,27.401240234375003,245.0,146,17,csail03-08-15_1_0012.png,csail03-08-15_0/
13,520.0,16.0,71.98135091145834,241.0,142.0,16.0,28.973212890625003,245.0,171,8,csail03-08-15_1_0013.png,csail03-08-15_0/
14,520.0,16.0,71.98135091145834,241.0,152.0,16.0,30.436123046875004,245.0,174,9,csail03-08-15_1_0014.png,csail03-08-15_0/
15,520.0,16.0,71.98135091145834,241.0,163.0,16.0,32.038518880208336,245.0,186,13,csail03-08-15_1_0015.png,csail03-08-15_0/
16,520.0,16.0,71.98135091145834,241.0,174.0,16.0,33.63970052083334,245.0,192,9,csail03-08-15_1_0016.png,csail03-08-15_0/
17,520.0,16.0,71.98135091145834,241.0,185.0,16.0,35.252724609375,245.0,206,11,csail03-08-15_1_0017.png,csail03-08-15_0/
18,520.0,16.0,71.98135091145834,241.0,196.0,16.0,36.855891927083334,245.0,218,11,csail03-08-15_1_0018.png,csail03-08-15_0/
19,520.0,16.0,71.98135091145834,241.0,207.0,16.0,38.42613932291667,245.0,213,12,csail03-08-15_1_0019.png,csail03-08-15_0/
20,520.0,16.0,71.98135091145834,241.0,217.0,16.0,39.87056966145833,244.0,229,10,csail03-08-15_1_0020.png,csail03-08-15_0/
21,520.0,16.0,71.98135091145834,241.0,228.0,16.0,41.48946940104167,244.0,226,7,csail03-08-15_1_0021.png,csail03-08-15_0/
22,520.0,16.0,71.98135091145834,241.0,239.0,16.0,43.069065755208335,244.0,237,11,csail03-08-15_1_0022.png,csail03-08-15_0/
23,520.0,16.0,71.98135091145834,241.0,250.0,16.0,44.6173046875,244.0,252,11,csail03-08-15_1_0023.png,csail03-08-15_0/
24,520.0,16.0,71.98135091145834,241.0,261.0,16.0,46.155911458333335,244.0,263,10,csail03-08-15_1_0024.png,csail03-08-15_0/
25,520.0,16.0,71.98135091145834,241.0,271.0,16.0,47.529667968750005,244.0,261,10,csail03-08-15_1_0025.png,csail03-08-15_0/
26,520.0,16.0,71.98135091145834,241.0,282.0,16.0,49.05906901041667,244.0,275,9,csail03-08-15_1_0026.png,csail03-08-15_0/
27,520.0,16.0,71.98135091145834,241.0,293.0,16.0,50.58429036458334,244.0,283,7,csail03-08-15_1_0027.png,csail03-08-15_0/
28,520.0,16.0,71.98135091145834,241.0,304.0,16.0,52.0704296875,244.0,298,12,csail03-08-15_1_0028.png,csail03-08-15_0/
29,520.0,16.0,71.98135091145834,241.0,315.0,16.0,53.52112630208334,243.0,299,7,csail03-08-15_1_0029.png,csail03-08-15_0/
30,520.0,16.0,71.98135091145834,241.0,325.0,16.0,54.88652018229167,243.0,317,8,csail03-08-15_1_0030.png,csail03-08-15_0/
31,520.0,16.0,71.98135091145834,241.0,336.0,16.0,56.38043945312501,243.0,309,7,csail03-08-15_1_0031.png,csail03-08-15_0/
32,520.0,16.0,71.98135091145834,241.0,347.0,16.0,57.86180989583334,243.0,324,7,csail03-08-15_1_0032.png,csail03-08-15_0/
33,520.0,16.0,71.98135091145834,241.0,358.0,16.0,59.289638671875004,242.0,334,9,csail03-08-15_1_0033.png,csail03-08-15_0/
34,520.0,16.0,71.98135091145834,241.0,369.0,16.0,60.750937500000006,242.0,332,9,csail03-08-15_1_0034.png,csail03-08-15_0/
35,520.0,16.0,71.98135091145834,241.0,380.0,16.0,62.19921223958334,242.0,337,7,csail03-08-15_1_0035.png,csail03-08-15_0/
36,520.0,16.0,71.98135091145834,241.0,390.0,16.0,63.542171223958334,242.0,349,8,csail03-08-15_1_0036.png,csail03-08-15_0/
