,Shutter 0,Gain 0,Mean Foreground Illumination 0,Mean BackGround Illumination 0,Contrast 0,Mean 0,Feature Luminance 0,Shutter 1,Gain 1,Mean Foreground Illumination 1,Mean BackGround Illumination 1,Contrast 1,Mean 1,Feature Luminance 1,FileLocation,NumMatches
0,444.0,16.0,156.3169026776519,149.34012722202857,233.0,151.104306640625,150.124826629681,444.0,16.0,148.86763645726055,159.05824764726384,234.0,156.48140299479167,156.64541832669323,csail03-08-15_0/,625
0,520.0,16.0,108.17017250257467,115.11241721854304,243.0,113.35696940104167,97.297570850202433,466.0,16.0,118.12421472708549,123.03479435343324,242.0,121.79308268229167,105.71443406022846,csail03-08-15_0/,106
0,520.0,16.0,94.79929196704428,100.15230045311955,236.0,98.79871419270835,95.611580217129074,509.0,16.0,84.47514160659115,93.21176803764378,236.0,91.00258463541667,99.28817733990148,csail03-08-15_0/,240
0,499.0,16.0,144.4076210092688,124.67855088881143,237.0,129.667333984375,144.38939670932359,23.0,16.0,22.659204428424307,18.36292262112234,247.0,19.449300130208336,53.210691823899374,csail03-08-15_0/,112
0,520.0,16.0,98.09437435633367,47.28690745904496,235.0,60.13431640625,103.57723577235772,477.0,16.0,70.1850798146241,45.88624520738933,229.0,52.030559895833335,104.52461538461539,2015-02-22TNQ_1/,84
1,520.0,16.0,98.09437435633367,47.28690745904496,235.0,60.13431640625,103.57723577235772,477.0,16.0,76.12727857878475,46.954657546183334,228.0,54.331380208333336,112.6838905775076,2015-02-22TNQ_1/,82
0,531.0,16.0,94.5033728115345,54.61281805507145,241.0,64.6997265625,109.16335877862595,250.0,16.0,71.06804840370752,45.24024050191704,232.0,51.77117838541667,114.58195211786372,2015-02-22TNQ_0/,108
1,531.0,16.0,94.5033728115345,54.61281805507145,241.0,64.6997265625,109.16335877862595,455.0,16.0,75.51757209062822,48.27955733705124,231.0,55.16708658854167,118.97084048027445,2015-02-22TNQ_0/,110
2,531.0,16.0,94.5033728115345,54.61281805507145,241.0,64.6997265625,109.16335877862595,488.0,16.0,71.39096292481977,45.839037992331825,230.0,52.300214843750005,114.36178107606679,2015-02-22TNQ_0/,107
3,531.0,16.0,94.5033728115345,54.61281805507145,241.0,64.6997265625,109.16335877862595,477.0,16.0,48.924240473738415,32.96256971070059,186.0,36.9987109375,85.347547974413644,2015-02-22TNQ_0/,95
