,Shutter B,Gain B,Mean ForeGround Illumination B,Mean Background Illumination B,Contrast B,Mean B,Feature Luminance B,Shutter I,Gain I,Mean Foreground Illumination I,Mean Background Illumination I,Contrast I,Mean I,Feature Luminance I,numFeatures I,numMatches B-I,name I,FileLocation
14,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,152.0,16.0,36.084461894953655,43.90672272568839,243.0,41.92875,56.792682926829265,164,34,csail03-08-15_1_0014.png,csail03-08-15_0/
15,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,163.0,16.0,38.04721936148301,46.34721592889508,244.0,44.248440755208335,59.375,176,41,csail03-08-15_1_0015.png,csail03-08-15_0/
16,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,174.0,16.0,40.09998712667353,48.84957302195887,246.0,46.637112630208335,59.37688442211055,199,51,csail03-08-15_1_0016.png,csail03-08-15_0/
17,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,185.0,16.0,42.1346035015448,51.307506971070055,247.0,48.98800455729167,62.528037383177569,214,60,csail03-08-15_1_0017.png,csail03-08-15_0/
18,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,196.0,16.0,44.163761585993825,53.7642122690833,247.0,51.33659830729167,66.017021276595742,235,69,csail03-08-15_1_0018.png,csail03-08-15_0/
19,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,207.0,16.0,46.16852471678682,56.17343586615545,247.0,53.64354817708334,68.559055118110237,254,65,csail03-08-15_1_0019.png,csail03-08-15_0/
20,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,217.0,16.0,47.98302008238929,58.338358313001045,247.0,55.71986002604167,67.458955223880594,268,82,csail03-08-15_1_0020.png,csail03-08-15_0/
21,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,228.0,16.0,49.992263130793,60.71379836179853,247.0,58.00270182291667,70.958188153310104,287,87,csail03-08-15_1_0021.png,csail03-08-15_0/
22,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,239.0,16.0,52.074562306900106,63.11456517950505,246.0,60.322939453125,69.919191919191917,297,79,csail03-08-15_1_0022.png,csail03-08-15_0/
23,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,250.0,16.0,54.16266735324408,65.49772568839316,247.0,62.63149088541667,73.148606811145513,323,82,csail03-08-15_1_0023.png,csail03-08-15_0/
24,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,261.0,16.0,56.232865602471676,67.81388114325549,247.0,64.88545247395834,77.944117647058818,340,88,csail03-08-15_1_0024.png,csail03-08-15_0/
25,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,271.0,16.0,58.04694902162719,69.82878180550715,247.0,66.84957356770833,77.249283667621782,349,94,csail03-08-15_1_0025.png,csail03-08-15_0/
26,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,282.0,16.0,60.08379248197734,72.04605698849774,247.0,69.02122395833334,80.517808219178079,365,91,csail03-08-15_1_0026.png,csail03-08-15_0/
27,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,293.0,16.0,62.12900360453141,74.1980524573022,246.0,71.14621744791667,82.541561712846345,397,92,csail03-08-15_1_0027.png,csail03-08-15_0/
28,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,304.0,16.0,64.16181771369722,76.34200941094458,246.0,73.2620703125,86.034912718204495,401,102,csail03-08-15_1_0028.png,csail03-08-15_0/
29,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,315.0,16.0,66.22838568486097,78.45222202858139,246.0,75.36124674479167,86.758139534883725,430,116,csail03-08-15_1_0029.png,csail03-08-15_0/
30,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,325.0,16.0,68.09934346035016,80.34447107005926,246.0,77.24811197916667,89.015250544662308,459,109,csail03-08-15_1_0030.png,csail03-08-15_0/
31,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,336.0,16.0,70.13491246138003,82.39189177413732,246.0,79.29253580729167,91.681069958847743,486,124,csail03-08-15_1_0031.png,csail03-08-15_0/
32,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,347.0,16.0,72.16053038105046,84.38307772743116,246.0,81.29242838541667,91.623456790123456,486,117,csail03-08-15_1_0032.png,csail03-08-15_0/
33,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,358.0,16.0,74.20596035015448,86.34427936563262,246.0,83.27492838541667,94.086614173228341,508,117,csail03-08-15_1_0033.png,csail03-08-15_0/
34,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,369.0,16.0,76.27068743563336,88.26465667479958,246.0,85.23180664062501,94.648809523809518,504,129,csail03-08-15_1_0034.png,csail03-08-15_0/
35,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,380.0,16.0,78.27012100926879,90.11455646566748,246.0,87.11951822916667,95.674329501915707,522,166,csail03-08-15_1_0035.png,csail03-08-15_0/
36,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,390.0,16.0,80.15971936148301,91.7983530846985,246.0,88.85535481770835,96.096296296296302,540,152,csail03-08-15_1_0036.png,csail03-08-15_0/
37,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,401.0,16.0,82.22600411946448,93.60142906936214,246.0,90.72498697916667,100.2780847145488,543,153,csail03-08-15_1_0037.png,csail03-08-15_0/
