,Unnamed: 0,Shutter 0,Gain 0,Mean Foreground Illumination 0,Mean BackGround Illumination 0,Contrast 0,Mean 0,Feature Luminance 0,Blur Luminance 0,Shutter 1,Gain 1,Mean Foreground Illumination 1,Mean BackGround Illumination 1,Contrast 1,Mean 1,Feature Luminance 1,Blur Luminance 1,FileLocation,NumMatches,Exposure 0,Exposure 1
24,0,520.0,16.0,98.0943743563,47.286907459,235.0,60.1343164063,103.5772357724,103.0048780488,477.0,16.0,70.1850798146,45.886245207399995,229.0,52.030559895799996,104.5246153846,106.76461538459999,2015-02-22TNQ_1/,84,520.0,477.0
25,1,520.0,16.0,98.0943743563,47.286907459,235.0,60.1343164063,103.5772357724,103.0048780488,477.0,16.0,76.1272785788,46.954657546199996,228.0,54.3313802083,112.6838905775,113.33282674770001,2015-02-22TNQ_1/,82,520.0,477.0
26,0,531.0,16.0,94.5033728115,54.6128180551,241.0,64.6997265625,109.1633587786,110.2854961832,250.0,16.0,71.0680484037,45.2402405019,232.0,51.7711783854,114.58195211790002,117.7955801105,2015-02-22TNQ_0/,108,531.0,250.0
27,1,531.0,16.0,94.5033728115,54.6128180551,241.0,64.6997265625,109.1633587786,110.2854961832,455.0,16.0,75.5175720906,48.2795573371,231.0,55.167086588500005,118.97084048030001,121.8147512865,2015-02-22TNQ_0/,110,531.0,455.0
28,2,531.0,16.0,94.5033728115,54.6128180551,241.0,64.6997265625,109.1633587786,110.2854961832,488.0,16.0,71.3909629248,45.83903799229999,230.0,52.3002148438,114.3617810761,117.3617810761,2015-02-22TNQ_0/,107,531.0,488.0
29,3,531.0,16.0,94.5033728115,54.6128180551,241.0,64.6997265625,109.1633587786,110.2854961832,477.0,16.0,48.924240473699996,32.9625697107,186.0,36.9987109375,85.3475479744,85.7142857143,2015-02-22TNQ_0/,95,531.0,477.0
30,4,531.0,16.0,94.5033728115,54.6128180551,241.0,64.6997265625,109.1633587786,110.2854961832,488.0,16.0,31.798854273899998,22.805999477199997,119.0,25.0799739583,54.8457831325,54.330120481899996,2015-02-22TNQ_0/,77,531.0,488.0
31,5,531.0,16.0,94.5033728115,54.6128180551,241.0,64.6997265625,109.1633587786,110.2854961832,499.0,16.0,79.2796086509,46.2826551063,236.0,54.62641601560001,103.8333333333,106.55026455030001,2015-02-22TNQ_0/,111,531.0,499.0
32,6,531.0,16.0,94.5033728115,54.6128180551,241.0,64.6997265625,109.1633587786,110.2854961832,520.0,16.0,54.7554582904,30.465453990900002,234.0,36.6075358073,95.03275529870001,98.1175337187,2015-02-22TNQ_0/,120,531.0,520.0
33,0,531.0,35.0,124.00552265709999,191.1363584873,240.0,174.16134765630002,134.9648951731,135.8356899074,531.0,32.0,131.1660530381,165.17455559430002,240.0,156.5750097656,136.4624125874,138.4326923077,2015-03-14gelb_2/,155,1161.5625,1062.0
