Frame,Timestamp,Run Number,Baseline,Experimental Mean Luminance,Shutter 0,Gain 0,Shutter 1,Gain 1,Image File 0,Image File 1,Experimental Method,Succesfully Tracked Features 1,Succesfully Tracked Features 0,STF Baseline,STF Experiment,Exposure Baseline,Exposure Experiment,Contrast,Mean Lum,FG Illum,BG Illum,Blur Lum,Exposure Sigma,Exposure Pred
25,2015-04-18 20:45:53.914493184,0.0,0.0,136.57208984375,53.0,16.0,401.0,16.0,bldg33_2015-04-18_0_0025.png,bldg33_2015-04-18_1_0025.png,GP,468.0,175.0,175.0,468.0,53.0,401.0,237.0,136.57208984375,158.95270339855819,128.99747298710352,145.01213282247764,25.292502382551067,405.0236789939467
26,2015-04-18 20:45:54.751952896,0.0,0.0,142.485107421875,46.0,16.0,404.0,16.0,bldg33_2015-04-18_0_0026.png,bldg33_2015-04-18_1_0026.png,GP,213.0,182.0,182.0,213.0,46.0,404.0,234.0,142.485107421875,177.89454170957777,130.5009454513768,143.4221748400853,25.617527860113537,380.88952571872863
27,2015-04-18 20:45:55.546475776,0.0,0.0,134.3221549479167,44.0,16.0,381.0,16.0,bldg33_2015-04-18_0_0027.png,bldg33_2015-04-18_1_0027.png,GP,217.0,131.0,131.0,217.0,44.0,381.0,234.0,134.3221549479167,164.22971163748713,124.20007842453816,144.81105169340464,27.13795754216112,366.56288254897396
28,2015-04-18 20:45:56.489656064,0.0,0.0,132.66202799479169,37.0,16.0,368.0,16.0,bldg33_2015-04-18_0_0028.png,bldg33_2015-04-18_1_0028.png,GP,68.0,80.0,80.0,68.0,37.0,368.0,237.0,132.66202799479169,177.09078269824923,117.62531805507145,136.35693724812896,27.674256758288298,366.85668042720437
29,2015-04-18 20:45:57.343489792,0.0,0.0,124.197197265625,29.0,16.0,368.0,16.0,bldg33_2015-04-18_0_0029.png,bldg33_2015-04-18_1_0029.png,GP,226.0,132.0,132.0,226.0,29.0,368.0,238.0,124.19719726562501,173.48053553038105,107.51747560125479,131.18666666666667,29.71611472371923,361.5378509072498
30,2015-04-18 20:45:58.140537088,0.0,0.0,131.23330078125,27.0,16.0,363.0,16.0,bldg33_2015-04-18_0_0030.png,bldg33_2015-04-18_1_0030.png,GP,189.0,65.0,65.0,189.0,27.0,363.0,239.0,131.23330078125,174.40144181256437,116.62323980481004,132.64182842830306,30.056825744814766,369.78109320388216
31,2015-04-18 20:45:58.805602048,0.0,0.0,139.12656575520833,25.0,16.0,371.0,16.0,bldg33_2015-04-18_0_0031.png,bldg33_2015-04-18_1_0031.png,GP,44.0,85.0,85.0,44.0,25.0,371.0,239.0,139.12656575520833,173.57355818743562,127.46813785291042,141.04009433962264,28.79228664936571,367.03822598398966
32,2015-04-18 20:45:59.516977920,0.0,0.0,140.71444010416667,28.0,16.0,368.0,16.0,bldg33_2015-04-18_0_0032.png,bldg33_2015-04-18_1_0032.png,GP,32.0,92.0,92.0,32.0,28.0,368.0,239.0,140.71444010416667,155.56498455200824,135.68834088532589,138.67955024595923,26.439800101821568,367.11131515536374
33,2015-04-18 20:46:00.206532096,0.0,0.0,144.4461328125,26.0,16.0,368.0,16.0,bldg33_2015-04-18_0_0033.png,bldg33_2015-04-18_1_0033.png,GP,169.0,104.0,104.0,169.0,26.0,368.0,236.0,144.4461328125,162.43939237899073,138.35639595677935,141.62435040831477,25.013166419717564,377.42778981966853
34,2015-04-18 20:46:00.923104,0.0,0.0,145.4810904947917,10.0,16.0,377.0,16.0,bldg33_2015-04-18_0_0034.png,bldg33_2015-04-18_1_0034.png,GP,128.0,104.0,104.0,128.0,10.0,377.0,237.0,145.4810904947917,159.94513388259526,140.58580080167306,148.4979524979525,24.646633928299252,367.8910234354683
35,2015-04-18 20:46:01.456093184,0.0,0.0,164.188935546875,16.0,16.0,369.0,16.0,bldg33_2015-04-18_0_0035.png,bldg33_2015-04-18_1_0035.png,GP,86.0,61.0,61.0,86.0,16.0,369.0,231.0,164.188935546875,154.54282955715757,167.45361624259323,156.35260115606937,24.42322211084754,367.63027955559124
36,2015-04-18 20:46:01.971688960,0.0,0.0,147.46248046875004,19.0,16.0,368.0,16.0,bldg33_2015-04-18_0_0036.png,bldg33_2015-04-18_1_0036.png,GP,56.0,114.0,114.0,56.0,19.0,368.0,233.0,147.46248046875002,192.77351956745625,132.12716538863714,146.51382823871907,28.16422549906926,342.6420570771005
37,2015-04-18 20:46:02.464590080,0.0,0.0,151.54142903645834,14.0,16.0,344.0,16.0,bldg33_2015-04-18_0_0037.png,bldg33_2015-04-18_1_0037.png,GP,62.0,144.0,144.0,62.0,14.0,344.0,234.0,151.54142903645834,185.8281797116375,139.93723422795398,151.82793867120955,28.944634394412244,338.0864060990096
